geo_code	county	city	province	region	city_level	is_pro_capital	tag
110000	北京市	北京市	北京市	华北	一线城市	0	2017年11月
120000	天津市	天津市	天津市	华北	新一线城市	0	2017年11月
130000	河北省	河北省	河北省	华北	NAN	0	2017年11月
130100	石家庄市	石家庄市	河北省	华北	二线城市	1	2017年11月
130102	长安区	石家庄市	河北省	华北	二线城市	1	2017年11月
130104	桥西区	石家庄市	河北省	华北	二线城市	1	2017年11月
130105	新华区	石家庄市	河北省	华北	二线城市	1	2017年11月
130107	井陉矿区	石家庄市	河北省	华北	二线城市	1	2017年11月
130108	裕华区	石家庄市	河北省	华北	二线城市	1	2017年11月
130109	藁城区	石家庄市	河北省	华北	二线城市	1	2017年11月
130110	鹿泉区	石家庄市	河北省	华北	二线城市	1	2017年11月
130111	栾城区	石家庄市	河北省	华北	二线城市	1	2017年11月
130121	井陉县	石家庄市	河北省	华北	二线城市	1	2017年11月
130123	正定县	石家庄市	河北省	华北	二线城市	1	2017年11月
130125	行唐县	石家庄市	河北省	华北	二线城市	1	2017年11月
130126	灵寿县	石家庄市	河北省	华北	二线城市	1	2017年11月
130127	高邑县	石家庄市	河北省	华北	二线城市	1	2017年11月
130128	深泽县	石家庄市	河北省	华北	二线城市	1	2017年11月
130129	赞皇县	石家庄市	河北省	华北	二线城市	1	2017年11月
130130	无极县	石家庄市	河北省	华北	二线城市	1	2017年11月
130131	平山县	石家庄市	河北省	华北	二线城市	1	2017年11月
130132	元氏县	石家庄市	河北省	华北	二线城市	1	2017年11月
130133	赵县	石家庄市	河北省	华北	二线城市	1	2017年11月
130181	辛集市	石家庄市	河北省	华北	二线城市	1	2017年11月
130183	晋州市	石家庄市	河北省	华北	二线城市	1	2017年11月
130184	新乐市	石家庄市	河北省	华北	二线城市	1	2017年11月
130200	唐山市	唐山市	河北省	华北	三线城市	0	2017年11月
130202	路南区	唐山市	河北省	华北	三线城市	0	2017年11月
130203	路北区	唐山市	河北省	华北	三线城市	0	2017年11月
130204	古冶区	唐山市	河北省	华北	三线城市	0	2017年11月
130205	开平区	唐山市	河北省	华北	三线城市	0	2017年11月
130207	丰南区	唐山市	河北省	华北	三线城市	0	2017年11月
130208	丰润区	唐山市	河北省	华北	三线城市	0	2017年11月
130209	曹妃甸区	唐山市	河北省	华北	三线城市	0	2017年11月
130223	滦县	唐山市	河北省	华北	三线城市	0	2017年11月
130224	滦南县	唐山市	河北省	华北	三线城市	0	2017年11月
130225	乐亭县	唐山市	河北省	华北	三线城市	0	2017年11月
130227	迁西县	唐山市	河北省	华北	三线城市	0	2017年11月
130229	玉田县	唐山市	河北省	华北	三线城市	0	2017年11月
130281	遵化市	唐山市	河北省	华北	三线城市	0	2017年11月
130283	迁安市	唐山市	河北省	华北	三线城市	0	2017年11月
130300	秦皇岛市	秦皇岛市	河北省	华北	三线城市	0	2017年11月
130302	海港区	秦皇岛市	河北省	华北	三线城市	0	2017年11月
130303	山海关区	秦皇岛市	河北省	华北	三线城市	0	2017年11月
130304	北戴河区	秦皇岛市	河北省	华北	三线城市	0	2017年11月
130306	抚宁区	秦皇岛市	河北省	华北	三线城市	0	2017年11月
130321	青龙满族自治县	秦皇岛市	河北省	华北	三线城市	0	2017年11月
130322	昌黎县	秦皇岛市	河北省	华北	三线城市	0	2017年11月
130324	卢龙县	秦皇岛市	河北省	华北	三线城市	0	2017年11月
130400	邯郸市	邯郸市	河北省	华北	三线城市	0	2017年11月
130402	邯山区	邯郸市	河北省	华北	三线城市	0	2017年11月
130403	丛台区	邯郸市	河北省	华北	三线城市	0	2017年11月
130404	复兴区	邯郸市	河北省	华北	三线城市	0	2017年11月
130406	峰峰矿区	邯郸市	河北省	华北	三线城市	0	2017年11月
130407	肥乡区	邯郸市	河北省	华北	三线城市	0	2017年11月
130408	永年区	邯郸市	河北省	华北	三线城市	0	2017年11月
130423	临漳县	邯郸市	河北省	华北	三线城市	0	2017年11月
130424	成安县	邯郸市	河北省	华北	三线城市	0	2017年11月
130425	大名县	邯郸市	河北省	华北	三线城市	0	2017年11月
130426	涉县	邯郸市	河北省	华北	三线城市	0	2017年11月
130427	磁县	邯郸市	河北省	华北	三线城市	0	2017年11月
130430	邱县	邯郸市	河北省	华北	三线城市	0	2017年11月
130431	鸡泽县	邯郸市	河北省	华北	三线城市	0	2017年11月
130432	广平县	邯郸市	河北省	华北	三线城市	0	2017年11月
130433	馆陶县	邯郸市	河北省	华北	三线城市	0	2017年11月
130434	魏县	邯郸市	河北省	华北	三线城市	0	2017年11月
130435	曲周县	邯郸市	河北省	华北	三线城市	0	2017年11月
130481	武安市	邯郸市	河北省	华北	三线城市	0	2017年11月
130500	邢台市	邢台市	河北省	华北	四线城市	0	2017年11月
130502	桥东区	邢台市	河北省	华北	四线城市	0	2017年11月
130503	桥西区	邢台市	河北省	华北	四线城市	0	2017年11月
130521	邢台县	邢台市	河北省	华北	四线城市	0	2017年11月
130522	临城县	邢台市	河北省	华北	四线城市	0	2017年11月
130523	内丘县	邢台市	河北省	华北	四线城市	0	2017年11月
130524	柏乡县	邢台市	河北省	华北	四线城市	0	2017年11月
130525	隆尧县	邢台市	河北省	华北	四线城市	0	2017年11月
130526	任县	邢台市	河北省	华北	四线城市	0	2017年11月
130527	南和县	邢台市	河北省	华北	四线城市	0	2017年11月
130528	宁晋县	邢台市	河北省	华北	四线城市	0	2017年11月
130529	巨鹿县	邢台市	河北省	华北	四线城市	0	2017年11月
130530	新河县	邢台市	河北省	华北	四线城市	0	2017年11月
130531	广宗县	邢台市	河北省	华北	四线城市	0	2017年11月
130532	平乡县	邢台市	河北省	华北	四线城市	0	2017年11月
130533	威县	邢台市	河北省	华北	四线城市	0	2017年11月
130534	清河县	邢台市	河北省	华北	四线城市	0	2017年11月
130535	临西县	邢台市	河北省	华北	四线城市	0	2017年11月
130581	南宫市	邢台市	河北省	华北	四线城市	0	2017年11月
